datetime,open,high,low,close,volume
2024-05-13 16:10:00,1016356931.0,1016356931.0,1016356931.0,1016356931.0,0.0
2024-05-13 16:15:00,1016356931.0,1016356931.0,1016356931.0,1016356931.0,0.0
2024-05-13 16:20:00,1016356931.0,1016356931.0,1016356931.0,1016356931.0,0.0
2024-05-13 16:25:00,1016356931.0,1016356931.0,1016356931.0,1016356931.0,0.0
2024-05-13 16:30:00,1016356931.0,1016356931.0,1016356931.0,1016356931.0,0.0
2024-05-13 16:35:00,1016356931.0,1016356931.0,1016356931.0,1016356931.0,0.0
2024-05-13 16:40:00,1016356931.0,1016356931.0,1016356931.0,1016356931.0,0.0
2024-05-13 16:45:00,1016356931.0,1016356931.0,1016356931.0,1016356931.0,0.0
2024-05-13 16:50:00,1016356931.0,1016356931.0,1016356931.0,1016356931.0,0.0
2024-05-13 16:55:00,1016356931.0,1016356931.0,1016356931.0,1016356931.0,0.0
2024-05-13 17:00:00,1016356931.0,1016356931.0,1016356931.0,1016356931.0,0.0
2024-05-13 17:05:00,1011947701.0,1011947701.0,1011947701.0,1011947701.0,0.03015
2024-05-13 17:10:00,1012048674.0,1013942651.0,1012048674.0,1013942651.0,0.00011
2024-05-13 17:15:00,1013942651.0,1013942651.0,1013942651.0,1013942651.0,0.0
2024-05-13 17:20:00,1013942651.0,1013942651.0,1013942651.0,1013942651.0,0.0
2024-05-13 17:25:00,1013942651.0,1013942651.0,1013942651.0,1013942651.0,0.0
2024-05-13 17:30:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0268
2024-05-13 17:35:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 17:40:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 17:45:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 17:50:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 17:55:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 18:00:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 18:05:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 18:10:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 18:15:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 18:20:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 18:25:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 18:30:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 18:35:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 18:40:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 18:45:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 18:50:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 18:55:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 19:00:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 19:05:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 19:10:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 19:15:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 19:20:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 19:25:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 19:30:00,1012876069.0,1012876069.0,1012876069.0,1012876069.0,0.0
2024-05-13 19:35:00,1015726929.0,1015726929.0,1015726929.0,1015726929.0,2e-05
2024-05-13 19:40:00,1015726929.0,1015726929.0,1015726929.0,1015726929.0,0.0
2024-05-13 19:45:00,1015726929.0,1015726929.0,1015726929.0,1015726929.0,0.0
2024-05-13 19:50:00,1015726929.0,1015726929.0,1015726929.0,1015726929.0,0.0
