timestamp,symbol,strategy,mode,open_positions,unrealized_pnl,realized_pnl,account_balance,equity,max_drawdown,trades_today,avg_slippage,last_error
2025-10-02T05:02:24.870941,ETH/USDT:USDT,hybrid_mix,paper,0,21.590619362226107,21.590619362226107,1000,1021.5906193622261,0.011597524199463971,8,0.0,
2025-10-02T05:04:10.470158,ETH/USDT:USDT,hybrid_mix,paper,0,21.590619362226107,21.590619362226107,1000,1021.5906193622261,0.011597524199463971,8,0.0,
2025-10-02T05:04:14.207756,ETH/USDT:USDT,hybrid_mix,paper,0,21.590619362226107,21.590619362226107,1000,1021.5906193622261,0.011597524199463971,8,0.0,
2025-10-02T05:06:23.169148,ETH/USDT:USDT,hybrid_mix,paper,0,21.590619362226107,21.590619362226107,1000,1021.5906193622261,0.011597524199463971,8,0.0,
2025-10-03T00:36:04.036395,ETH/USDT:USDT,hybrid_mix,paper,0,21.590619362226107,21.590619362226107,1000,1021.5906193622261,0.011597524199463971,8,0.0,
2025-10-03T00:45:37.754000,ETH/USDT:USDT,hybrid_mix,paper,0,21.590619362226107,21.590619362226107,1000,1021.5906193622261,0.011597524199463971,8,0.0,
2025-10-03T00:50:27.726940,ETH/USDT:USDT,hybrid_mix,paper,0,21.590619362226107,21.590619362226107,1000,1021.5906193622261,0.011597524199463971,8,0.0,
2025-10-03T00:53:04.074252,ETH/USDT:USDT,hybrid_mix,paper,0,21.590619362226107,21.590619362226107,1000,1021.5906193622261,0.011597524199463971,8,0.0,
2025-10-03T01:07:36.199589,ETH/USDT:USDT,hybrid_mix,paper,0,57.62773439240641,57.62773439240641,1000,1057.6277343924064,0.016620624065938946,9,0.0,
2025-10-03T01:07:40.275134,BTC/USDT:USDT,test,,0,0,0,1000,1000.0,0,0,0.0,
